sku,category,title,price,star,api,update_time
2062317229,default,Шпатель-скребок кондитерский,68,4.9,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.610905
1538261156,default,"Салфетки для уборки, 20 см, 10 шт.",88,4.9,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.610905
3353912163,default,"Садовые нарукавники,2шт",145,4.6,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.610905
2279834096,default,Салфетки для уборки,182,4.4,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.610905
2469843127,default,"Многофункциональные крючки на присосках Для ванной, кухни",78,4.6,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.611919
2677362031,default,Насадка на швабру,200,3.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.611945
3035780517,default,"Щетка для посуды, 1 шт",49,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.611967
1634457051,default,"Полотенце для волос, Микрофибра, 10x13 см, фиолетовый",119,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.611967
2751988599,default,Набор садовых инструментов,91,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.612001
2066901299,default,"Швабра швабра, длина 130 см",189,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.612001
2515213614,default,Щипцы кухонные,134,4.9,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.612001
3035816675,default,"Коврик для приготовлениях 20.5 см, 1 шт",119,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.612001
2126887513,default,"Светодиодный ночник-проектор с эффектом северного сияния, подходит для спальни и детской комнаты, отличный подарок",166,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
3006826631,default,"капусторезка, ручная терка 1 шт",75,4.5,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
2985133956,default,DAELIA Насадка на швабру,191,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
3228743477,default,Ручка для переноски пакетов,126,5.0,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
2626366352,default,"Крышка, 1 шт, диаметр: 60 см",146,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
3214442116,default,Напальчник медицинский,68,4.9,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
2719857296,default,"Полотенце кухонное, 13x25, 20шт",195,4.7,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
1704100737,default,"Емкость для масла, 470 мл",194,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
2425634245,default,"Губка, 50 шт.",188,4.5,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
2867119175,default,"нет Губка меламиновая губка, Меламин, 10 шт.",140,4.9,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
3168184951,default,"Крышка для СВЧ, диаметр: 25, 1 шт",116,4.5,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
2436973441,default,Шарики для сбора шерсти и волос при стирке (8 шт),86,4.7,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.614978
3074818169,default,"Губка, 50 шт.",146,4.4,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.617477
2818402532,default,"Коврик для приготовления, 0.70м х 50 см, 0.7 мкм, 1 шт",185,4.6,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.617477
2240859441,default,"Тяпка, 14 см",134,4.7,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.617477
2018980581,default,"Нож для удаления сердцевины, 1 шт",172,4.9,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.617477
1930533751,default,Яблокорезка&#x2F; Нож для нарезки фруктов&#x2F; Удаление сердцевины,122,4.8,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.617477
1773321225,default,"Открывалка, 14 см, 1 шт",68,4.9,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.617477
2795333742,default,"Салфетки для уборки, 10 тряпок для мытья посуды, 10 шт.",117,4.9,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.617477
3249718510,default,"Капусторезка Овощечистка из нержавеющей стали, подходит для огурцов, капусты и салатов",65,4.7,<api.api.API object at 0x000001FB1EE119A0>,2026-03-07 03:30:57.617477
